 feedback_id, customer_id, reservation_id, rating, comments, feedback_date
1,101,118,4,Late Check-in Process,2021-08-20
2,68,75,3,Quick Room Service,2020-12-30
3,217,102,3,Parking Was Limited,2026-04-26
4,79,103,3,Well Maintained Hotel,2024-08-17
5,184,83,4,Value for Money,2023-01-26
6,141,147,3,Well Maintained Hotel,2021-02-24
7,216,34,4,Good Location,2021-08-20
8,59,38,4,Great Hospitality,2025-12-22
9,227,10,3,Very Good Stay,2025-12-22
10,194,91,3,Professional Staff,2026-02-15
11,126,49,3,Nice Ambience,2021-12-02
12,1,54,5,Pleasant Stay,2024-01-05
13,83,1,3,Delicious Breakfast,2026-06-30
14,249,20,3,Highly Recommended,2026-02-15
15,118,119,4,Room Needs Improvement,2021-02-24
16,140,13,5,Amazing Food,2020-12-30
17,172,53,5,Professional Staff,2024-01-05
18,69,100,4,Good Location,2025-12-22
19,50,55,4,Smooth Check-in,2025-08-29
20,123,11,5,Clean and Comfortable Room,2024-01-05
21,169,134,3,Late Check-in Process,2025-04-04
22,55,109,4,Comfortable Bed,2026-06-30
23,183,133,4,Loved the Swimming Pool,2025-11-06
24,38,142,5,Nice Ambience,2023-07-02
25,188,120,5,Amazing Food,2025-11-06
26,147,58,3,Pleasant Stay,2026-02-15
27,141,16,4,Good Location,2021-08-20
28,147,53,5,Professional Staff,2023-04-15
29,138,59,4,Food Was Average,2022-07-22
30,164,63,3,Amazing Food,2021-06-05
31,182,48,3,Comfortable Bed,2022-04-28
32,237,85,3,Housekeeping Was Slow,2021-06-05
33,111,93,5,Very Good Stay,2025-08-29
34,92,41,5,Good Location,2026-02-15
35,170,89,5,Great Hospitality,2023-09-20
36,28,41,5,Friendly Staff,2020-12-30
37,204,135,4,Amazing Food,2025-12-22
38,108,85,5,Late Check-in Process,2026-06-30
39,85,96,5,Wonderful Experience,2021-08-20
40,148,141,4,Good Location,2023-01-26
41,80,6,4,Room Needs Improvement,2022-04-28
42,54,103,5,Parking Was Limited,2020-12-30
43,76,92,4,Housekeeping Was Slow,2024-05-29
44,90,75,3,Excellent Service,2024-08-17
45,97,93,4,Slow Room Service,2025-11-06
46,10,27,3,Great Hospitality,2023-04-15
47,153,44,3,Parking Was Limited,2021-02-24
48,196,129,3,Nice Ambience,2021-08-20
49,27,60,4,Loved the Swimming Pool,2026-02-15
50,207,54,3,Good Location,2021-02-24
