 invoice_id, reservation_id, invoice_date, tax_amount, discount_amount, final_amount, invoice_status
1,94,2020-08-25,2500,2500,85000,Generated
2,126,2025-02-20,1500,2000,68000,Paid
3,100,2024-09-08,7500,6500,85000,Paid
4,30,2023-10-12,1200,6500,45000,Paid
5,127,2023-03-14,8500,5500,75000,Paid
6,143,2021-04-22,1200,5000,45000,Paid
7,9,2020-05-18,3000,7000,32000,Generated
8,122,2023-06-30,6000,500,45000,Paid
9,138,2022-11-28,5000,5000,32000,Paid
10,56,2020-02-12,3000,0,68000,Paid
11,85,2025-06-11,4500,6000,68000,Paid
12,17,2024-09-08,7500,3000,68000,Cancelled
13,94,2025-02-20,9500,3500,45000,Pending
14,94,2021-04-22,6500,2000,52000,Paid
15,5,2020-08-25,7000,6000,25000,Paid
16,54,2023-10-12,2200,1500,95000,Paid
17,68,2021-01-10,3500,5500,25000,Paid
18,74,2021-01-10,8500,2500,68000,Paid
19,148,2022-11-28,2200,7000,68000,Generated
20,111,2020-08-25,6000,3000,95000,Paid
21,66,2020-08-25,1800,0,52000,Paid
22,68,2025-02-20,2000,3500,60000,Paid
23,74,2021-04-22,1500,4000,60000,Paid
24,14,2025-02-20,7000,5000,68000,Paid
25,67,2022-07-19,3000,3000,75000,Paid
26,34,2023-10-12,1800,2500,120000,Paid
27,13,2025-06-11,2500,3000,105000,Paid
28,109,2024-01-25,3500,5000,95000,Paid
29,84,2024-09-08,1500,2000,52000,Cancelled
30,68,2020-05-18,1500,2500,38000,Paid
31,44,2026-03-07,9000,6500,38000,Paid
32,30,2023-06-30,9500,4500,25000,Paid
33,57,2023-06-30,5500,5500,95000,Pending
34,113,2020-05-18,3000,6000,45000,Paid
35,142,2023-10-12,9000,0,38000,Cancelled
36,16,2025-02-20,7500,1500,95000,Cancelled
37,97,2026-06-18,4500,5000,45000,Paid
38,25,2023-06-30,8500,3500,38000,Paid
39,6,2022-02-05,5000,1000,52000,Paid
40,84,2023-10-12,4000,1000,45000,Paid
41,122,2022-07-19,9500,2500,38000,Paid
42,40,2024-05-16,1200,6500,32000,Generated
43,16,2020-05-18,8000,3000,32000,Cancelled
44,96,2023-06-30,4000,6500,38000,Cancelled
45,119,2023-06-30,1500,2500,85000,Cancelled
46,80,2020-02-12,2200,6500,105000,Pending
47,59,2026-03-07,2500,2500,120000,Paid
48,145,2021-09-15,2500,500,38000,Cancelled
49,137,2023-03-14,1200,2000,52000,Paid
50,55,2023-06-30,3000,1000,105000,Paid
51,111,2026-03-07,7500,6500,52000,Paid
52,43,2020-08-25,2500,3500,38000,Paid
53,46,2020-08-25,1200,3500,68000,Paid
54,86,2024-01-25,9500,5000,120000,Paid
55,80,2026-03-07,5000,500,105000,Paid
56,28,2021-09-15,5000,4000,95000,Paid
57,55,2026-06-18,8500,0,85000,Paid
58,19,2022-02-05,1800,4000,120000,Paid
59,104,2020-08-25,9000,500,32000,Paid
60,150,2026-06-18,1200,3500,68000,Cancelled
61,51,2024-05-16,2500,4500,85000,Paid
62,132,2020-02-12,4000,6500,120000,Paid
63,131,2020-05-18,9000,1500,75000,Paid
64,112,2024-09-08,2000,2500,105000,Cancelled
65,73,2021-09-15,1800,2000,75000,Paid
66,81,2020-08-25,7000,2500,95000,Paid
67,115,2021-04-22,6500,4500,85000,Paid
68,57,2024-01-25,4000,1000,75000,Paid
69,139,2020-08-25,6000,0,68000,Paid
70,29,2026-03-07,5500,1000,32000,Paid
71,74,2021-01-10,8500,0,95000,Pending
72,78,2022-02-05,5500,2000,95000,Paid
73,105,2021-09-15,5000,4000,25000,Cancelled
74,20,2024-05-16,4500,5500,95000,Pending
75,132,2020-08-25,6500,5000,32000,Paid
76,9,2024-01-25,1500,7000,32000,Paid
77,118,2022-07-19,4500,3500,120000,Paid
78,21,2021-04-22,8000,4000,25000,Paid
79,27,2020-05-18,5500,7000,60000,Pending
80,141,2024-05-16,3500,7000,105000,Paid
81,48,2021-04-22,5000,500,32000,Cancelled
82,9,2023-03-14,4000,1000,105000,Paid
83,62,2022-02-05,3500,5500,95000,Paid
84,92,2024-05-16,7000,0,75000,Cancelled
85,98,2024-09-08,5500,1000,38000,Cancelled
86,14,2023-03-14,1500,3000,32000,Paid
87,6,2023-06-30,8500,6500,60000,Pending
88,140,2020-05-18,7500,3500,85000,Cancelled
89,24,2024-01-25,7500,4500,32000,Paid
90,122,2024-05-16,1200,0,120000,Paid
91,14,2021-04-22,7500,6500,38000,Pending
92,61,2020-08-25,6500,7000,60000,Paid
93,47,2024-01-25,3000,6500,120000,Paid
94,42,2020-05-18,8000,5000,95000,Cancelled
95,122,2025-10-29,2000,3000,38000,Paid
96,63,2023-06-30,1800,5000,45000,Paid
97,76,2026-03-07,1800,1500,85000,Paid
98,115,2024-01-25,4500,2000,68000,Cancelled
99,98,2022-02-05,4000,7000,60000,Paid
100,138,2021-01-10,6500,1000,52000,Cancelled
